Exit code: 0
Wall time: 0.2 seconds
Output:
epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,83.0717,0.47844,0.46308,0.86795,0.98977,1,0.995,0.94594,0.36517,0.4345,0.82929,0.0015842,0.0015842,0.0015842
44,84.9617,0.48065,0.48544,0.88264,0.99382,1,0.995,0.91727,0.39971,0.41672,0.85144,0.0015743,0.0015743,0.0015743
45,86.7961,0.48437,0.4562,0.88244,0.99751,1,0.995,0.93608,0.38374,0.38197,0.83866,0.0015644,0.0015644,0.0015644
46,88.6493,0.46597,0.44693,0.8744,0.99733,1,0.995,0.90364,0.38364,0.36301,0.83059,0.0015545,0.0015545,0.0015545
47,90.5148,0.48573,0.44396,0.86486,0.99674,1,0.995,0.932,0.35406,0.34697,0.83357,0.0015446,0.0015446,0.0015446
48,92.3613,0.5084,0.46975,0.88537,0.99721,1,0.995,0.92434,0.39757,0.39989,0.83448,0.0015347,0.0015347,0.0015347
49,94.1824,0.47032,0.43672,0.88392,0.98423,1,0.995,0.93675,0.38733,0.38683,0.83273,0.0015248,0.0015248,0.0015248
50,96.0484,0.48478,0.42713,0.87505,0.99688,0.95455,0.99326,0.92517,0.42947,0.49362,0.84939,0.0015149,0.0015149,0.0015149
51,97.8667,0.48588,0.41967,0.87282,0.99794,1,0.995,0.91914,0.40524,0.40971,0.84148,0.001505,0.001505,0.001505
52,99.7113,0.45692,0.42921,0.86407,0.99667,1,0.995,0.9549,0.35867,0.38725,0.82895,0.0014951,0.0014951,0.0014951
53,101.539,0.45393,0.43217,0.86907,0.99493,1,0.995,0.94175,0.36016,0.39004,0.83918,0.0014852,0.0014852,0.0014852
54,103.394,0.46801,0.43418,0.87805,0.99667,1,0.995,0.94743,0.37605,0.40152,0.8418,0.0014753,0.0014753,0.0014753
55,105.203,0.45122,0.42487,0.86451,0.94993,1,0.98326,0.88384,0.35758,0.45234,0.84215,0.0014654,0.0014654,0.0014654
56,107.074,0.42689,0.41288,0.86208,0.95081,1,0.98717,0.92449,0.36089,0.37469,0.83762,0.0014555,0.0014555,0.0014555
57,108.997,0.44814,0.43084,0.85927,0.99741,1,0.995,0.93865,0.34728,0.318,0.82893,0.0014456,0.0014456,0.0014456
58,110.967,0.45232,0.44744,0.87317,0.98986,1,0.995,0.94245,0.3372,0.32347,0.82447,0.0014357,0.0014357,0.0014357
59,112.977,0.42663,0.40605,0.8587,0.99713,1,0.995,0.96091,0.30513,0.30848,0.82207,0.0014258,0.0014258,0.0014258
60,115.022,0.41217,0.40141,0.8658,0.99722,1,0.995,0.9562,0.31984,0.31586,0.82052,0.0014159,0.0014159,0.0014159
61,117.015,0.44148,0.41854,0.87132,0.99705,1,0.995,0.95963,0.34123,0.34131,0.82869,0.001406,0.001406,0.001406
62,119.097,0.42925,0.39744,0.87272,0.99639,1,0.995,0.97148,0.32796,0.35115,0.82385,0.0013961,0.0013961,0.0013961
63,121.083,0.46227,0.45597,0.87774,0.99628,1,0.995,0.94759,0.3815,0.40972,0.83589,0.0013862,0.0013862,0.0013862
64,123.079,0.45065,0.43994,0.86029,0.99448,1,0.995,0.94775,0.34809,0.44094,0.82504,0.0013763,0.0013763,0.0013763
65,125.063,0.43155,0.41879,0.86604,0.99727,1,0.995,0.96809,0.31549,0.38702,0.81591,0.0013664,0.0013664,0.0013664
66,126.999,0.41639,0.39564,0.86398,0.99633,1,0.995,0.95467,0.34429,0.34257,0.82179,0.0013565,0.0013565,0.0013565
67,128.913,0.42868,0.40212,0.85138,0.99622,1,0.995,0.948,0.34392,0.42577,0.82302,0.0013466,0.0013466,0.0013466
68,130.897,0.41829,0.39117,0.8547,0.9968,1,0.995,0.92855,0.34065,0.35567,0.81897,0.0013367,0.0013367,0.0013367
69,132.913,0.44437,0.4168,0.85572,0.99644,1,0.995,0.95155,0.33796,0.37445,0.82084,0.0013268,0.0013268,0.0013268
70,134.968,0.42508,0.40738,0.87272,0.99749,1,0.995,0.92074,0.35431,0.38723,0.82461,0.0013169,0.0013169,0.0013169
71,136.948,0.42959,0.41393,0.87227,0.99794,1,0.995,0.95989,0.32075,0.3281,0.81913,0.001307,0.001307,0.001307
72,139.013,0.41675,0.39184,0.86791,0.99744,1,0.995,0.93729,0.34878,0.30827,0.82504,0.0012971,0.0012971,0.0012971
73,140.975,0.39673,0.37157,0.86007,0.99737,1,0.995,0.96306,0.3201,0.31558,0.81677,0.0012872,0.0012872,0.0012872
74,142.919,0.41006,0.38734,0.86362,0.99646,1,0.995,0.94241,0.31641,0.34603,0.82323,0.0012773,0.0012773,0.0012773
75,144.942,0.40185,0.36218,0.84238,0.99653,1,0.995,0.93321,0.30567,0.35882,0.82022,0.0012674,0.0012674,0.0012674
76,147.013,0.41153,0.38729,0.85393,0.98628,1,0.995,0.89506,0.33833,0.4195,0.84126,0.0012575,0.0012575,0.0012575
77,148.857,0.40458,0.35296,0.84951,0.99541,1,0.995,0.93824,0.34651,0.34069,0.83138,0.0012476,0.0012476,0.0012476
78,150.715,0.39733,0.35918,0.85485,1,0.98456,0.995,0.9498,0.32965,0.37057,0.82258,0.0012377,0.0012377,0.0012377
79,152.582,0.41184,0.38438,0.85334,0.9946,1,0.995,0.96178,0.32447,0.32973,0.81683,0.0012278,0.0012278,0.0012278
80,154.568,0.38697,0.35182,0.839,0.99694,1,0.995,0.92556,0.37481,0.31868,0.83469,0.0012179,0.0012179,0.0012179
81,156.53,0.41054,0.36083,0.85994,0.99751,1,0.995,0.96408,0.3326,0.30531,0.8241,0.001208,0.001208,0.001208
82,158.49,0.40783,0.36437,0.85749,0.9978,1,0.995,0.95892,0.30221,0.30157,0.81828,0.0011981,0.0011981,0.0011981
